label,L_x0,L_y0,L_z0,L_x1,L_y1,L_z1,L_x2,L_y2,L_z2,L_x3,L_y3,L_z3,L_x4,L_y4,L_z4,L_x5,L_y5,L_z5,L_x6,L_y6,L_z6,L_x7,L_y7,L_z7,L_x8,L_y8,L_z8,L_x9,L_y9,L_z9,L_x10,L_y10,L_z10,L_x11,L_y11,L_z11,L_x12,L_y12,L_z12,L_x13,L_y13,L_z13,L_x14,L_y14,L_z14,L_x15,L_y15,L_z15,L_x16,L_y16,L_z16,L_x17,L_y17,L_z17,L_x18,L_y18,L_z18,L_x19,L_y19,L_z19,L_x20,L_y20,L_z20,R_x0,R_y0,R_z0,R_x1,R_y1,R_z1,R_x2,R_y2,R_z2,R_x3,R_y3,R_z3,R_x4,R_y4,R_z4,R_x5,R_y5,R_z5,R_x6,R_y6,R_z6,R_x7,R_y7,R_z7,R_x8,R_y8,R_z8,R_x9,R_y9,R_z9,R_x10,R_y10,R_z10,R_x11,R_y11,R_z11,R_x12,R_y12,R_z12,R_x13,R_y13,R_z13,R_x14,R_y14,R_z14,R_x15,R_y15,R_z15,R_x16,R_y16,R_z16,R_x17,R_y17,R_z17,R_x18,R_y18,R_z18,R_x19,R_y19,R_z19,R_x20,R_y20,R_z20,L_xshoulder,L_yshoulder,L_zshoulder,L_xelbow,L_yelbow,L_zelbow,L_xwrist,L_ywrist,L_zwrist,R_xshoulder,R_yshoulder,R_zshoulder,R_xelbow,R_yelbow,R_zelbow,R_xwrist,R_ywrist,R_zwrist
U02,0.7380516529083252,0.7312660217285156,7.430591040247236e-07,0.7845895886421204,0.6843754053115845,-0.02372579276561737,0.8066347241401672,0.6008854508399963,-0.03672954440116882,0.7930781841278076,0.5356622934341431,-0.05012840777635574,0.7543715238571167,0.5052887201309204,-0.0614355131983757,0.7582537531852722,0.5214430093765259,-0.02088548243045807,0.7695083618164062,0.43360695242881775,-0.04264109581708908,0.7740684747695923,0.3786315321922302,-0.05407220125198364,0.7743123769760132,0.3277297914028168,-0.059511538594961166,0.7244448065757751,0.5209289789199829,-0.023811185732483864,0.7444314360618591,0.4253116846084595,-0.051766686141490936,0.7605668902397156,0.3598758280277252,-0.06442341953516006,0.7713288068771362,0.30372804403305054,-0.06759747862815857,0.6930816173553467,0.5346853137016296,-0.02950356714427471,0.7375307083129883,0.4993606507778168,-0.07254474610090256,0.7547207474708557,0.5645189881324768,-0.07574251294136047,0.7575418949127197,0.615399181842804,-0.0634058490395546,0.6704820394515991,0.5606395602226257,-0.036578573286533356,0.7214202284812927,0.5319368243217468,-0.0696253851056099,0.7492539286613464,0.5796553492546082,-0.06823989003896713,0.7631621956825256,0.6241143345832825,-0.05752935633063316,0.7382956743240356,0.7320117354393005,7.442970400006743e-07,0.7846135497093201,0.684431254863739,-0.023669054731726646,0.8065743446350098,0.6006715893745422,-0.03668380156159401,0.7930440306663513,0.5357258915901184,-0.050136201083660126,0.7545271515846252,0.5052862763404846,-0.06142919883131981,0.7579686641693115,0.5211612582206726,-0.02077043056488037,0.7694075107574463,0.43332919478416443,-0.042610641568899155,0.7740352153778076,0.3785099387168884,-0.054118286818265915,0.7742516398429871,0.32772964239120483,-0.059585511684417725,0.7240262031555176,0.5208600759506226,-0.023816321045160294,0.7442631721496582,0.42514827847480774,-0.05184967815876007,0.7604877948760986,0.35967040061950684,-0.0645001158118248,0.7712597250938416,0.3034520149230957,-0.0676124170422554,0.6926641464233398,0.5347652435302734,-0.029650267213582993,0.7376377582550049,0.49996939301490784,-0.07268480211496353,0.7549978494644165,0.565173864364624,-0.07572698593139648,0.7578883767127991,0.6159933805465698,-0.06321180611848831,0.6702187657356262,0.5609464049339294,-0.03690063953399658,0.7215906977653503,0.5322781801223755,-0.06977444142103195,0.749760627746582,0.5796005725860596,-0.06818381696939468,0.7638835310935974,0.6238183379173279,-0.0572880394756794,0.810518741607666,0.9592596292495728,-0.013667983934283257,0.0,0.0,0.0,0.7052157521247864,0.7872883677482605,-1.3032784461975098,0.3319063186645508,0.9100706577301025,-0.12353630363941193,0.2788977324962616,1.1701029539108276,-0.9361921548843384,0.7113217115402222,0.7354705333709717,-1.5245977640151978
U02,0.7390344738960266,0.7309960126876831,7.846119842724875e-07,0.7832192182540894,0.6821223497390747,-0.023972032591700554,0.80520099401474,0.6014797687530518,-0.03809044882655144,0.7926616668701172,0.5392757654190063,-0.05290400981903076,0.7551476359367371,0.5083956122398376,-0.06544061750173569,0.7534586787223816,0.51935875415802,-0.02142297476530075,0.7653351426124573,0.43396449089050293,-0.04564125835895538,0.7711604237556458,0.3793249726295471,-0.059061769396066666,0.7724804878234863,0.32922595739364624,-0.06551762670278549,0.7189963459968567,0.5203627347946167,-0.025536201894283295,0.7405031323432922,0.42314404249191284,-0.05544780194759369,0.7584318518638611,0.3583792746067047,-0.06861595064401627,0.770056962966919,0.3043866753578186,-0.07148003578186035,0.6878619194030762,0.5361645221710205,-0.032715048640966415,0.7353503704071045,0.4996793270111084,-0.07690827548503876,0.7544447183609009,0.5644327402114868,-0.07940080016851425,0.7580841183662415,0.6136341691017151,-0.06606104224920273,0.6665997505187988,0.5646769404411316,-0.04145880788564682,0.7207268476486206,0.5370148420333862,-0.07424841076135635,0.7497221827507019,0.582602858543396,-0.0720134973526001,0.7637144923210144,0.6238113641738892,-0.060449209064245224,0.7386029958724976,0.7315880060195923,7.811947853042511e-07,0.7832658290863037,0.6823631525039673,-0.0239630788564682,0.8052524328231812,0.6016144752502441,-0.03804029896855354,0.7927053570747375,0.5392593741416931,-0.052796196192502975,0.7553234100341797,0.5082554817199707,-0.06528931856155396,0.7534312009811401,0.5194488763809204,-0.021230239421129227,0.7654719948768616,0.4338045120239258,-0.04509606584906578,0.7712511420249939,0.37904852628707886,-0.058326784521341324,0.7724369764328003,0.3286530375480652,-0.06470725685358047,0.7190617322921753,0.5202673673629761,-0.025225868448615074,0.7405634522438049,0.4232785105705261,-0.054768916219472885,0.7583945989608765,0.3584425747394562,-0.06784876435995102,0.7699745893478394,0.3042924702167511,-0.07072602212429047,0.6880660057067871,0.5359067916870117,-0.032255999743938446,0.7356995940208435,0.5001279711723328,-0.07613490521907806,0.7546226978302002,0.5648592710494995,-0.07863596826791763,0.7581205368041992,0.6142457723617554,-0.06536104530096054,0.666959285736084,0.5642454624176025,-0.0408482551574707,0.7209333777427673,0.5364004373550415,-0.07345395535230637,0.7498221397399902,0.5823677778244019,-0.0711105540394783,0.7638798952102661,0.6242489218711853,-0.05947982147336006,0.8099421262741089,0.9603545069694519,-0.06057335063815117,0.0,0.0,0.0,0.6956678628921509,0.806242823600769,-1.3854224681854248,0.3313860595226288,0.9102487564086914,-0.23670265078544617,0.2919929027557373,1.1715515851974487,-1.0860087871551514,0.714081883430481,0.7360489368438721,-1.602832555770874
U02,0.7366123795509338,0.7333939075469971,7.804434858371678e-07,0.7818249464035034,0.6854860782623291,-0.023120470345020294,0.80458003282547,0.6017584204673767,-0.03747338801622391,0.7921858429908752,0.5357121229171753,-0.05206172168254852,0.7520366907119751,0.5089707970619202,-0.0645490363240242,0.7516237497329712,0.520456850528717,-0.023867277428507805,0.7651450634002686,0.4345735013484955,-0.04659084603190422,0.7708919644355774,0.38191336393356323,-0.059163253754377365,0.7708610892295837,0.33195650577545166,-0.065818190574646,0.7165992856025696,0.5205170512199402,-0.02797321043908596,0.7400899529457092,0.42420053482055664,-0.056821342557668686,0.7580530047416687,0.35804226994514465,-0.07044004648923874,0.7689176797866821,0.3013402819633484,-0.07455749064683914,0.6856400370597839,0.5360541939735413,-0.03439170867204666,0.7331534028053284,0.49940186738967896,-0.07653395086526871,0.7507687211036682,0.5626550316810608,-0.07919278740882874,0.7532864809036255,0.6106998920440674,-0.06744228303432465,0.6657080054283142,0.5639501810073853,-0.04225948080420494,0.722608745098114,0.5389178991317749,-0.07446376234292984,0.751914381980896,0.5857933163642883,-0.0730271190404892,0.7667502164840698,0.6271491646766663,-0.06288108229637146,0.7384480834007263,0.7242825627326965,7.793082659190986e-07,0.7822256684303284,0.6813650131225586,-0.0219527967274189,0.8047448396682739,0.5969536900520325,-0.03530122712254524,0.7925671935081482,0.530936598777771,-0.04908392205834389,0.751065194606781,0.5073819756507874,-0.06115993857383728,0.7539882659912109,0.5191181898117065,-0.023618808016180992,0.7661490440368652,0.4338887333869934,-0.04548618942499161,0.7713422775268555,0.3781381845474243,-0.05757181718945503,0.7717746496200562,0.32662373781204224,-0.0642433613538742,0.7196072340011597,0.5197955965995789,-0.02880614623427391,0.7412039041519165,0.42626431584358215,-0.05798234045505524,0.7603355646133423,0.35941964387893677,-0.07232195138931274,0.771206796169281,0.2980491518974304,-0.07719344645738602,0.6875565648078918,0.5335304141044617,-0.03594174608588219,0.7339816689491272,0.49522003531455994,-0.07959118485450745,0.7502191066741943,0.5567737221717834,-0.0831148773431778,0.7504795789718628,0.6018581390380859,-0.0715406984090805,0.6642579436302185,0.5599424242973328,-0.04417900741100311,0.7193012833595276,0.534062385559082,-0.07706715911626816,0.746823251247406,0.579613983631134,-0.0755939930677414,0.7586783170700073,0.6215512156486511,-0.06546252965927124,0.8103216290473938,0.960692286491394,-0.05890297889709473,0.0,0.0,0.0,0.7042527794837952,0.8650339841842651,-1.3995797634124756,0.33036869764328003,0.9104016423225403,-0.25870171189308167,0.29437071084976196,1.1786744594573975,-1.1482656002044678,0.7104721069335938,0.7384924292564392,-1.7539968490600586
U02,0.735166609287262,0.7270083427429199,8.141045100273914e-07,0.781736433506012,0.6841949820518494,-0.02162165939807892,0.8034948110580444,0.5976582169532776,-0.0350320003926754,0.7908925414085388,0.5298806428909302,-0.048860665410757065,0.749972939491272,0.5047628879547119,-0.060519054532051086,0.751497209072113,0.5251389741897583,-0.02301403507590294,0.7636910080909729,0.4428095817565918,-0.04542198404669762,0.7675771117210388,0.3924039602279663,-0.057796020060777664,0.7660178542137146,0.3446628451347351,-0.06457245349884033,0.7174238562583923,0.5236132740974426,-0.028097987174987793,0.7406014800071716,0.4278533458709717,-0.058864712715148926,0.7603397369384766,0.35806381702423096,-0.0742419883608818,0.7720426321029663,0.296079158782959,-0.07932702451944351,0.6857365965843201,0.5359423756599426,-0.035126104950904846,0.7320409417152405,0.4974730908870697,-0.07957836240530014,0.7476165294647217,0.5613916516304016,-0.0829615518450737,0.7477495670318604,0.6093875765800476,-0.07090437412261963,0.663570761680603,0.5608221888542175,-0.04328812658786774,0.7218248248100281,0.5388462543487549,-0.07728972285985947,0.7491444945335388,0.585873007774353,-0.07667043805122375,0.7608569264411926,0.6273047924041748,-0.06680615991353989,0.7362483143806458,0.7269655466079712,7.70208146150253e-07,0.7807609438896179,0.684815526008606,-0.02374139241874218,0.8046877980232239,0.600936233997345,-0.038125425577163696,0.7919608354568481,0.5346530675888062,-0.05218205600976944,0.7514985203742981,0.5097188353538513,-0.06465190649032593,0.7521616220474243,0.5203746557235718,-0.026706237345933914,0.7654752731323242,0.4357772469520569,-0.04904336482286453,0.770209014415741,0.3835447430610657,-0.06119278445839882,0.7695675492286682,0.3344729244709015,-0.06724002957344055,0.7171899676322937,0.5207948088645935,-0.03042715974152088,0.7403730750083923,0.4261814057826996,-0.0580391027033329,0.7576848864555359,0.3608315587043762,-0.07098370790481567,0.7673019766807556,0.3055579662322998,-0.0746728926897049,0.6858488917350769,0.5351421236991882,-0.03618387132883072,0.7330576181411743,0.4947246015071869,-0.07789800316095352,0.7502938508987427,0.5475321412086487,-0.08259633928537369,0.7520024180412292,0.5873206257820129,-0.0729956328868866,0.6650075316429138,0.560903012752533,-0.043081872165203094,0.7245871424674988,0.5363399982452393,-0.07522252947092056,0.7526059150695801,0.5876336693763733,-0.07423745095729828,0.766305685043335,0.6328759789466858,-0.06483317166566849,0.8106314539909363,0.9604464173316956,-0.0642165094614029,0.0,0.0,0.0,0.7099204659461975,0.8853791356086731,-1.4010179042816162,0.3304634690284729,0.9104263782501221,-0.25409042835235596,0.2917126715183258,1.1789060831069946,-1.1469491720199585,0.7081963419914246,0.7404752373695374,-1.7284328937530518
U02,0.7400141954421997,0.7224372029304504,8.366280326299602e-07,0.782436728477478,0.6782221794128418,-0.02011748030781746,0.8031752109527588,0.5972879528999329,-0.03260153532028198,0.7878178358078003,0.5349195003509521,-0.046485401690006256,0.7488483190536499,0.5081849098205566,-0.058402981609106064,0.7535088062286377,0.5186482071876526,-0.01783011294901371,0.7631464600563049,0.43315067887306213,-0.038801975548267365,0.7686012387275696,0.37827372550964355,-0.04992664232850075,0.7702502012252808,0.328647255897522,-0.05541960522532463,0.7179034948348999,0.5187828540802002,-0.02341424487531185,0.7375103235244751,0.42553722858428955,-0.05201420560479164,0.7553295493125916,0.36186015605926514,-0.06569422781467438,0.7677468657493591,0.30629897117614746,-0.06892522424459457,0.6852283477783203,0.5321306586265564,-0.03110067918896675,0.7305769324302673,0.4947662949562073,-0.07416919618844986,0.7494234442710876,0.5648401379585266,-0.07448169589042664,0.7528368234634399,0.6166872382164001,-0.05940261483192444,0.6620879173278809,0.5596978068351746,-0.03996843844652176,0.7156884074211121,0.5345451235771179,-0.07343821972608566,0.746640682220459,0.5807282328605652,-0.0703006461262703,0.7606530785560608,0.6219770908355713,-0.057490576058626175,0.7344362735748291,0.7267690300941467,7.49284311041265e-07,0.7793799042701721,0.6829053163528442,-0.024786783382296562,0.801732063293457,0.5987827181816101,-0.03864431008696556,0.7885820865631104,0.5325605273246765,-0.05240983888506889,0.7488018274307251,0.5035904049873352,-0.06459592282772064,0.7500989437103271,0.5210787653923035,-0.024668758735060692,0.7627597451210022,0.4361724555492401,-0.04752349853515625,0.7677696943283081,0.3811747431755066,-0.06024131923913956,0.7682478427886963,0.3294193744659424,-0.06669885665178299,0.716620147228241,0.5207659006118774,-0.027594471350312233,0.7376457452774048,0.42718037962913513,-0.056238383054733276,0.7546291351318359,0.3618766665458679,-0.06982997804880142,0.7649507522583008,0.30501192808151245,-0.0738840326666832,0.6858986020088196,0.5341997742652893,-0.032957836985588074,0.7330459356307983,0.49408966302871704,-0.07624603062868118,0.7533138990402222,0.5518506169319153,-0.08032605051994324,0.7574124336242676,0.5956677794456482,-0.06938069313764572,0.6641098260879517,0.5591503977775574,-0.03964686766266823,0.7191177606582642,0.5324329733848572,-0.07307902723550797,0.7470483183860779,0.5828953981399536,-0.07193472981452942,0.7609222531318665,0.6283267736434937,-0.061797816306352615,0.8122024536132812,0.9604731202125549,-0.07000769674777985,0.0,0.0,0.0,0.7194947004318237,0.9082874059677124,-1.4649237394332886,0.3305441737174988,0.9107813239097595,-0.24704083800315857,0.28811368346214294,1.1793445348739624,-1.1562814712524414,0.704994797706604,0.7418234944343567,-1.7882556915283203
U02,0.728166401386261,0.7294203042984009,7.697105388615455e-07,0.77730393409729,0.6815971732139587,-0.023149695247411728,0.7973086833953857,0.5961503982543945,-0.034781839698553085,0.7787765264511108,0.5298730731010437,-0.047496549785137177,0.7379249334335327,0.4962480664253235,-0.05760305002331734,0.7569688558578491,0.5257527828216553,-0.01776946149766445,0.7642822861671448,0.43277716636657715,-0.03774697706103325,0.766908586025238,0.3758336305618286,-0.048665620386600494,0.7654844522476196,0.3248675465583801,-0.05505846068263054,0.7234300971031189,0.5267586708068848,-0.022171638906002045,0.735593318939209,0.4270086884498596,-0.053460899740457535,0.7489959001541138,0.36151039600372314,-0.07092708349227905,0.7567605376243591,0.3056030571460724,-0.07806812971830368,0.6894114017486572,0.5412992835044861,-0.02886720560491085,0.7190208435058594,0.49062222242355347,-0.0763111487030983,0.7367574572563171,0.5585563778877258,-0.07980237156152725,0.7387734055519104,0.6109817624092102,-0.06666412949562073,0.6622685790061951,0.5667356848716736,-0.036637283861637115,0.7043710947036743,0.526127278804779,-0.07421312481164932,0.7357535362243652,0.5719467997550964,-0.07401050627231598,0.7486737966537476,0.6177062392234802,-0.06360474973917007,0.7331342101097107,0.7252116203308105,6.713898415000585e-07,0.7799182534217834,0.6850850582122803,-0.024912841618061066,0.7965565919876099,0.5906023979187012,-0.03440278768539429,0.7762916684150696,0.5203643441200256,-0.042784322053194046,0.7324312925338745,0.49425408244132996,-0.04962005466222763,0.7563022375106812,0.5240347385406494,-0.020458796992897987,0.7636330127716064,0.43402016162872314,-0.03731552138924599,0.7668394446372986,0.3801023066043854,-0.04532882571220398,0.7657700777053833,0.33102720975875854,-0.04926849529147148,0.722610354423523,0.5241294503211975,-0.02082083187997341,0.7369380593299866,0.4263603091239929,-0.04307420179247856,0.7499809861183167,0.3642706274986267,-0.05287550389766693,0.7582083344459534,0.3106337785720825,-0.055811379104852676,0.6895408630371094,0.5385463237762451,-0.02393612638115883,0.7207449078559875,0.4900150001049042,-0.06422934681177139,0.7391868829727173,0.5547863841056824,-0.06829076260328293,0.7442596554756165,0.6073573231697083,-0.058160774409770966,0.662264883518219,0.5642285943031311,-0.028105439618229866,0.703904390335083,0.5248929262161255,-0.06231122463941574,0.7337009906768799,0.5700014233589172,-0.06331617385149002,0.7499322295188904,0.6136583089828491,-0.05544373393058777,0.8128636479377747,0.960953950881958,-0.05745003744959831,0.0,0.0,0.0,0.7475703954696655,0.9301282167434692,-1.4738056659698486,0.33062800765037537,0.911128044128418,-0.23307731747627258,0.2791825830936432,1.181057333946228,-1.1392486095428467,0.7044780850410461,0.7508836388587952,-1.8034690618515015
U02,0.728667140007019,0.7286221981048584,7.422832482006925e-07,0.778490424156189,0.6834537982940674,-0.024332229048013687,0.7972403764724731,0.5912224650382996,-0.036009110510349274,0.7730268239974976,0.5201225876808167,-0.04786239191889763,0.7275547981262207,0.4892888069152832,-0.05812842398881912,0.7590816617012024,0.5279421806335449,-0.021441256627440453,0.7679811716079712,0.436421275138855,-0.04033326730132103,0.7717711925506592,0.38003474473953247,-0.05022337660193443,0.7719925045967102,0.32716599106788635,-0.05588536709547043,0.7243455052375793,0.5287261009216309,-0.02443394437432289,0.7365139126777649,0.43063950538635254,-0.05218517780303955,0.7503543496131897,0.3668352961540222,-0.06694497913122177,0.758510947227478,0.30975013971328735,-0.07281238585710526,0.6906447410583496,0.5422994494438171,-0.029542699456214905,0.715296745300293,0.4916400909423828,-0.07613055408000946,0.7325678467750549,0.5583209991455078,-0.08189113438129425,0.7345860004425049,0.6103790402412415,-0.07075005769729614,0.663933515548706,0.5663955211639404,-0.03536773845553398,0.7036115527153015,0.5228450894355774,-0.07261987030506134,0.7337725758552551,0.5704626441001892,-0.07339281588792801,0.747463583946228,0.6189438700675964,-0.06425569951534271,0.7316862940788269,0.7252026796340942,6.48323862151301e-07,0.7798148393630981,0.6860274076461792,-0.025766434147953987,0.7968606352806091,0.5902306437492371,-0.035368870943784714,0.7731093168258667,0.5190547704696655,-0.04357649013400078,0.7272144556045532,0.4923817217350006,-0.050395745784044266,0.7575818300247192,0.5263695120811462,-0.02182764559984207,0.7650294303894043,0.4376828968524933,-0.03878848999738693,0.7681492567062378,0.3846137821674347,-0.04705023393034935,0.7671024203300476,0.33553385734558105,-0.05141260474920273,0.7235846519470215,0.5265857577323914,-0.021873993799090385,0.7376529574394226,0.42936763167381287,-0.04416508227586746,0.7502476572990417,0.3677414655685425,-0.054276712238788605,0.7573919892311096,0.31343573331832886,-0.05780859664082527,0.6900950074195862,0.5405178070068359,-0.024665558710694313,0.7172163724899292,0.4873552620410919,-0.06594013422727585,0.7351740598678589,0.5505711436271667,-0.07118555903434753,0.7395002841949463,0.6020562648773193,-0.06205779314041138,0.6619483828544617,0.5648106932640076,-0.028377091512084007,0.7020913362503052,0.5235989689826965,-0.06391052901744843,0.7311825752258301,0.5691422820091248,-0.06603503227233887,0.7465253472328186,0.6133317351341248,-0.059146031737327576,0.8129879832267761,0.9609355926513672,-0.019178621470928192,0.0,0.0,0.0,0.7454182505607605,0.9255298972129822,-1.2588560581207275,0.33070632815361023,0.9110327363014221,-0.11370990425348282,0.2528432607650757,1.1837162971496582,-0.9607359766960144,0.6973327398300171,0.7577702403068542,-1.5716619491577148
U02,0.7257236242294312,0.7237223982810974,6.573920927621657e-07,0.7761405110359192,0.681744396686554,-0.023826798424124718,0.7919635772705078,0.5873701572418213,-0.031934235244989395,0.768702507019043,0.5193738341331482,-0.03903011605143547,0.7245774865150452,0.49521562457084656,-0.04459819197654724,0.7559995055198669,0.5252192616462708,-0.019816767424345016,0.76413893699646,0.43696969747543335,-0.03627042472362518,0.7676870822906494,0.3813857436180115,-0.0449245311319828,0.7678317427635193,0.3324805200099945,-0.04986362159252167,0.720630943775177,0.52553391456604,-0.02080496773123741,0.7334003448486328,0.4275806248188019,-0.04310836270451546,0.7463722229003906,0.36655065417289734,-0.053711697459220886,0.7539892196655273,0.314577579498291,-0.05739870294928551,0.6863155364990234,0.5411620140075684,-0.024128491058945656,0.7103793621063232,0.4842557907104492,-0.063508540391922,0.729015052318573,0.5473408699035645,-0.0660182535648346,0.7331365346908569,0.5982335209846497,-0.055008821189403534,0.6574945449829102,0.5677008628845215,-0.028482023626565933,0.6942814588546753,0.5252980589866638,-0.06198497489094734,0.7227006554603577,0.5660262107849121,-0.06193530187010765,0.7352612614631653,0.6060652136802673,-0.05336621031165123,0.7272816896438599,0.7239524126052856,6.452314096350165e-07,0.7772031426429749,0.6837917566299438,-0.02322201058268547,0.7919057607650757,0.586955189704895,-0.030669331550598145,0.7673861384391785,0.517312228679657,-0.03721757233142853,0.7221729159355164,0.4950997829437256,-0.04237854480743408,0.7557322978973389,0.5248745083808899,-0.0190755482763052,0.762964129447937,0.43659186363220215,-0.03526269271969795,0.7657661437988281,0.38040080666542053,-0.04385671392083168,0.7651910185813904,0.3313151001930237,-0.048950646072626114,0.7205770611763,0.5256612300872803,-0.020310739055275917,0.7338953018188477,0.42923080921173096,-0.0425296425819397,0.7465616464614868,0.36800846457481384,-0.05346202850341797,0.754081666469574,0.315517783164978,-0.05761178582906723,0.686488687992096,0.5415894985198975,-0.023824580013751984,0.7103586792945862,0.48516276478767395,-0.06303241848945618,0.729509711265564,0.5478361248970032,-0.06570307910442352,0.7348868250846863,0.599115788936615,-0.05510455742478371,0.6579275131225586,0.5682138204574585,-0.028340257704257965,0.6945416927337646,0.5257736444473267,-0.0621076263487339,0.7233489155769348,0.5669112801551819,-0.062464311718940735,0.7372414469718933,0.6076896786689758,-0.05433268845081329,0.8130872845649719,0.9607372879981995,-0.02245446667075157,0.0,0.0,0.0,0.7272782921791077,0.866592526435852,-1.3127102851867676,0.331198126077652,0.9114125370979309,-0.10631543397903442,0.23204679787158966,1.1901390552520752,-0.9796872138977051,0.6633843183517456,0.7653265595436096,-1.621612548828125
